group,scientific name,common name,taxon rank
Amphibians,Anaxyrus boreas,Western Toad,species
Amphibians,Batrachoseps nigriventris,Black-bellied Slender Salamander,species
Amphibians,Pseudacris hypochondriaca,Baja California tree frog,species
Birds,Agelaius phoeniceus,Red-winged blackbird,species
Birds,Ardea herodias,Great blue heron,species
Birds,Bubo virginianus,Great horned owl,species
Birds,Buteo jamaicensis,Red-tailed hawk,species
Birds,Callipepla californica,California quail,species
Birds,Catherpes mexicanus,Canyon wren,species
Birds,Circus hudsonius,Northern harrier,species
Birds,Geococcyx californianus,Greater roadrunner,species
Birds,Lophodytes cucullatus,Hooded merganser,species
Birds,Melanerpes formicivorus,Acorn woodpecker,species
Birds,Pipilo maculatus,Spotted towhee,species
Birds,Sialia mexicana,Western bluebird,species
Birds,Spatula cyanoptera,Cinnamon teal,species
Birds,Sturnella neglecta,Western meadowlark,species
Invertebrates,Ammopelmatus sp.,North American Jerusalem crickets,species
Invertebrates,Anthocharis sara,Sara orangetip,species
Invertebrates,Apodemia virgulti,Behr's metalmark,species
Invertebrates,Bombus sp.,Bumblebees,species
Invertebrates,Callophrys dumetorum,Bramble green hairstreak,species
Invertebrates,Euphilotes battoides ssp. allyni,El Segundo blue butterfly,subspecies
Invertebrates,Limenitis lorquini,Lorquin's admiral,species
Invertebrates,Mutillidae,Velvet ants,family
Invertebrates,Pogonomyrmex,Harvester ants,genus
Mammals,Lynx rufus,Bobcat,species
Mammals,Neotoma macrotis,Dusky footed woodrat,species
Mammals,Odocoileus hemionus,Mule deer,species
Mammals,Puma concolor,Mountain lion,species
Mammals,Urocyon cinereoargenteus,Gray fox,species
Reptiles,Actinemys marmorata,Western pond turtle,species
Reptiles,Masticophis flagellum,Coachwhip snake,species
Reptiles,Crotalus oreganus,Western rattlesnake,species
Reptiles,Lampropeltis californiae,California kingsnake,species
Reptiles,Pituophis catenifer,Gopher snake,species
Reptiles,Uta stansburiana,Sideblotched lizard,species
