year,iconic_taxon_name,n
2016,Actinopterygii,10
2016,Amphibia,94
2016,Animalia,199
2016,Arachnida,341
2016,Aves,1526
2016,Chromista,15
2016,Fungi,97
2016,Insecta,2445
2016,Mammalia,238
2016,Mollusca,248
2016,Plantae,4736
2016,Protozoa,1
2016,Reptilia,436
2016,NA,154
2017,Actinopterygii,47
2017,Amphibia,93
2017,Animalia,424
2017,Arachnida,478
2017,Aves,2165
2017,Chromista,42
2017,Fungi,146
2017,Insecta,3826
2017,Mammalia,467
2017,Mollusca,727
2017,Plantae,8614
2017,Protozoa,7
2017,Reptilia,740
2017,NA,380
2018,Actinopterygii,56
2018,Amphibia,62
2018,Animalia,712
2018,Arachnida,438
2018,Aves,2738
2018,Chromista,127
2018,Fungi,167
2018,Insecta,3464
2018,Mammalia,377
2018,Mollusca,875
2018,Plantae,9374
2018,Protozoa,23
2018,Reptilia,664
2018,NA,396
2019,Actinopterygii,89
2019,Amphibia,94
2019,Animalia,1111
2019,Arachnida,638
2019,Aves,3740
2019,Chromista,241
2019,Fungi,332
2019,Insecta,5237
2019,Mammalia,631
2019,Mollusca,1442
2019,Plantae,19411
2019,Protozoa,20
2019,Reptilia,963
2019,NA,564
2020,Actinopterygii,18
2020,Amphibia,104
2020,Animalia,320
2020,Arachnida,883
2020,Aves,3589
2020,Chromista,6
2020,Fungi,240
2020,Insecta,3902
2020,Mammalia,481
2020,Mollusca,363
2020,Plantae,8904
2020,Protozoa,22
2020,Reptilia,691
2020,NA,83
2021,Actinopterygii,72
2021,Amphibia,73
2021,Animalia,714
2021,Arachnida,539
2021,Aves,4189
2021,Chromista,184
2021,Fungi,152
2021,Insecta,3321
2021,Mammalia,573
2021,Mollusca,818
2021,Plantae,11067
2021,Protozoa,24
2021,Reptilia,794
2021,NA,40
2022,Actinopterygii,40
2022,Amphibia,74
2022,Animalia,273
2022,Arachnida,423
2022,Aves,2914
2022,Chromista,41
2022,Fungi,228
2022,Insecta,3637
2022,Mammalia,425
2022,Mollusca,260
2022,Plantae,10514
2022,Protozoa,20
2022,Reptilia,669
2022,NA,121
2023,Actinopterygii,49
2023,Amphibia,85
2023,Animalia,442
2023,Arachnida,568
2023,Aves,3926
2023,Chromista,74
2023,Fungi,381
2023,Insecta,4712
2023,Mammalia,532
2023,Mollusca,559
2023,Plantae,14490
2023,Protozoa,42
2023,Reptilia,700
2023,NA,108
